codigo,componente_curricular,carga_horaria,natureza,professor,pre_requisitos,pre_requisito_02,pre_requisito_03,periodo,horario
COMP001,INTRODUÇÃO À COMPUTAÇÃO,80,OPTATIVO,,,,,,
COMP389,CONCEITOS DE LINGUAGEM DE PROGRAMAÇÃO,72,OPTATIVO,RAFAEL DE AMORIM SILVA,,,,,35M12
COMP390,APRENDIZAGEM DE MÁQUINA,72,OPTATIVO,AYDANO PAMPONET MACHADO,COMP404,,,,24T56
COMP391,SISTEMAS DIGITAIS,72,OPTATIVO,BRUNO COSTA E SILVA NOGUEIRA,COMP404,COMP450,,,36T34
COMP392,SISTEMAS DISTRIBUÍDOS,72,OPTATIVO,LEONARDO VIANA PEREIRA,COMP443,,,,6M3456
COMP393,REDES NEURAIS E APRENDIZADO PROFUNDO,72,OPTATIVO,TIAGO FIGUEIREDO VIEIRA,COMP390,,,,35M56
COMP394,FPGA,72,OPTATIVO,,,,,,
COMP395,INTERAÇÃO HOMEM-MÁQUINA,72,OPTATIVO,FABIO PARAGUACU DUARTE DA COSTA,COMP373,,,,24M34
COMP396,PROCESSAMENTO DIGITAL DE IMAGENS,72,OPTATIVO,TIAGO FIGUEIREDO VIEIRA,COMP381,,,,35M34
COMP397,COMPUTAÇÃO EVOLUCIONÁRIA,72,OPTATIVO,ROBERTA VILHENA VIEIRA LOPES,,,,,35T34
COMP398,SISTEMAS EMBARCADOS,72,OPTATIVO,ERICK DE ANDRADE BARBOZA,,,,,24M56
COMP399,GERÊNCIA DE PROJETO,72,OPTATIVO,RAFAEL DE AMORIM SILVA,COMP382,,,,35M34
COMP400,VISÃO COMPUTACIONAL,72, OPTATIVO,THALES MIRANDA DE ALMEIDA VIEIRA,COMP396,,,,24M34
COMP401,CIÊNCIA DE DADOS,72,OPTATIVO,BRUNO ALMEIDA PIMENTEL,COMP370,,,,24T34
COMP402,MICROCONTROLADORES E APLICAÇÕES,72,OPTATIVO,ERICK DE ANDRADE BARBOZA,COMP391,,,,24T12
COMP403,"SEGURANÇA DE SISTEMAS COMPUTACIONAIS",72,OPTATIVO,ALMIR PEREIRA GUIMARAES,COMP443,,,,24T12
COMP404,CÁLCULO 3,72,OPTATIVO,,COMP363,,,,
COMP405,TÓPICOS EM CIÊNCIA DA COMPUTAÇÃO  1,72,OPTATIVO,,,,,,
COMP406,TÓPICOS EM CIÊNCIA DA COMPUTAÇÃO  2,72,OPTATIVO,,,,,,
COMP407,TÓPICOS EM CIÊNCIA DA COMPUTAÇÃO  3,72,OPTATIVO,,,,,,
COMP409,TÓPICOS EM MATEMÁTICA PARA COMPUTAÇÃO 1,72,OPTATIVO,,,,,,
COMP410,TÓPICOS EM MATEMÁTICA PARA COMPUTAÇÃO 2,72,OPTATIVO,,,,,,
COMP411,TÓPICOS EM MATEMÁTICA PARA COMPUTAÇÃO 3,72,OPTATIVO,,,,,,
COMP412,TÓPICOS EM FÍSICA PARA COMPUTAÇÃO  1,72,OPTATIVO,,,,,,
COMP413,TÓPICOS EM FÍSICA PARA COMPUTAÇÃO  2,72,OPTATIVO,,,,,,
COMP414,TÓPICOS EM FÍSICA PARA COMPUTAÇÃO  3,72,OPTATIVO,,,,,,
